,order_date
798,8
799,12
800,2
801,11
802,8
803,2
804,11
805,8
806,3
807,4
808,5
809,5
810,4
811,3
812,9
813,9
814,5
815,10
816,11
817,10
818,9
819,12
820,12
821,4
822,12
823,9
824,12
825,10
826,12
827,11
828,4
829,6
830,11
831,6
832,6
833,9
834,11
835,9
836,7
837,4
838,6
839,12
840,1
841,10
842,6
843,1
844,7
845,11
846,11
847,7
848,3
849,12
850,11
851,2
852,5
853,5
854,7
855,9
856,12
857,10
858,5
859,1
860,12
861,6
862,5
863,9
864,12
865,12
866,2
867,4
868,6
869,6
870,9
871,3
872,10
873,4
874,8
875,1
876,12
877,3
878,4
879,12
880,11
881,10
882,9
883,3
884,4
885,12
886,1
887,11
888,9
889,4
890,10
891,10
892,4
893,10
894,9
895,11
896,4
897,3
898,7
899,12
900,10
901,1
902,11
903,3
904,8
905,7
906,1
907,4
908,7
909,10
910,8
911,12
912,12
913,11
914,5
915,7
916,6
917,9
918,8
919,8
920,9
921,6
922,5
923,3
924,2
925,12
926,10
927,2
928,11
929,10
930,3
931,10
932,11
933,9
934,4
935,9
936,9
937,3
938,6
939,8
940,5
941,6
942,12
943,9
944,12
945,10
946,11
947,10
948,11
949,9
950,5
951,9
952,10
953,10
954,11
955,12
956,6
957,7
958,8
959,9
960,3
961,12
962,10
963,12
964,6
965,1
966,5
967,10
968,1
969,5
970,12
971,3
972,8
973,1
974,6
975,4
976,4
977,5
978,3
979,8
980,11
981,10
982,4
983,7
984,6
985,7
986,5
987,6
988,3
989,9
990,9
991,8
992,12
993,8
994,8
995,9
996,1
997,10
998,10
999,1
1000,10
1001,1
1002,11
1003,3
1004,9
1005,10
1006,8
1007,1
1008,11
1009,10
1010,3
1011,1
1012,10
1013,10
1014,10
1015,12
1016,8
1017,2
1018,6
1019,5
1020,8
1021,10
1022,11
1023,7
1024,10
1025,3
1026,5
1027,11
1028,3
1029,9
1030,8
1031,5
1032,9
1033,4
1034,7
1035,10
1036,11
1037,11
1038,1
1039,3
1040,5
1041,8
1042,10
1043,9
1044,6
1045,11
1046,4
1047,11
1048,9
1049,9
1050,5
1051,1
1052,1
1053,2
1054,10
1055,6
1056,9
1057,1
1058,10
1059,11
1060,7
1061,4
1062,10
1063,9
1064,6
1065,12
1066,3
1067,7
1068,10
1069,12
1070,4
1071,8
1072,5
1073,9
1074,4
1075,5
1076,7
1077,6
1078,12
1079,7
1080,6
1081,1
1082,4
1083,12
1084,1
1085,11
1086,9
1087,10
1088,12
1089,12
1090,3
1091,11
1092,8
1093,7
1094,6
1095,6
1096,7
1097,6
1098,1
1099,12
1100,12
1101,5
1102,1
1103,2
1104,2
1105,2
1106,5
1107,3
1108,10
1109,12
1110,11
1111,5
1112,4
1113,4
1114,10
1115,1
1116,8
1117,4
1118,11
1119,10
1120,3
1121,3
1122,6
1123,2
1124,10
1125,6
1126,7
1127,8
1128,4
1129,8
1130,6
1131,7
1132,3
1133,5
1134,10
1135,1
1136,3
1137,1
1138,1
1139,6
1140,11
1141,11
1142,11
1143,6
1144,12
1145,4
1146,8
1147,1
1148,12
1149,11
1150,7
1151,3
1152,8
1153,5
1154,5
